beta,seed,n,k,lag,real,imag
1.0001,15,50000,1,1024,0.792170765428108,-0.07637591191702132
1.0001,15,50000,1,4096,0.3910175563984603,-0.08767278107749732
1.0001,15,200000,1,1,0.9997702684989379,-3.492416400219361e-05
1.0001,15,200000,1,64,0.9854214309734481,-0.001997698065178828
1.0001,15,200000,1,1024,0.797636986197071,-0.018985736097951317
1.0001,15,200000,1,4096,0.41192181259015725,0.012925969878627933
1.0001,15,1000000,1,1,0.9997866557981584,-1.62148952501146e-05
1.0001,15,1000000,1,64,0.9864439110061505,-0.0009483158539576739
1.0001,15,1000000,1,1024,0.8033647154784893,-0.010107334179529142
1.0001,15,1000000,1,4096,0.3935258189046064,-0.0286500774484722
1.0001,15,50000,4,1,0.9984018306792627,-0.0009073116583293734
1.0001,15,50000,4,64,0.9080157653229851,-0.04963629880384729
