row_id,split,alpha,seed,estimated_location,estimated_scale
264,test,0.54,20264858,-0.005360601908782009,1.0465298883988616
265,test,0.54,20264859,0.007845028062390257,1.100257381208677
266,test,0.54,20264860,-0.005281430456648151,1.0688463549857525
267,test,0.54,20264861,-0.011305756042098637,1.0656422834413979
268,test,0.54,20264862,0.028908974292961062,1.1029269878380483
269,test,0.54,20264863,-0.014932778453830519,1.080121263144199
270,test,0.54,20264864,0.004599660178325341,1.106902457409193
271,test,0.54,20264865,0.03252423199083889,1.0821446169982623
272,test,0.54,20264866,-0.0052944917989783714,1.0857629623997878
273,test,0.54,20264867,0.0054035315320338125,1.1304489477738775
274,test,0.54,20264868,-0.008668741756305269,1.0772703284902307
275,test,0.54,20264869,-0.014276410524490052,1.1215357327372395
276,test,0.54,20264870,-0.017170222165294267,1.0943209697581024
277,test,0.54,20264871,0.03477146153412707,1.0496925997142459
278,test,0.54,20264872,-0.03491222994176223,1.139791558863369
279,test,0.54,20264873,0.0467584869642485,1.0947376504313686
280,test,0.54,20264874,-0.03832389084418703,1.0811473201337538
281,test,0.54,20264875,0.012323827479544731,1.070121967892069
282,test,0.54,20264876,-0.0073728496595913484,1.1315783719826555
283,test,0.54,20264877,0.02713338993442117,1.1065917912942607
284,test,0.62,20264830,0.023293039903576437,1.276583655201215
285,test,0.62,20264831,0.0023370977606858422,1.2586360603246596
286,test,0.62,20264832,0.01576345081088255,1.216203168642867
287,test,0.62,20264833,-0.034490261200183794,1.2985296682161702
288,test,0.62,20264834,-0.07692905488176217,1.3254799948380636
289,test,0.62,20264835,0.01281860476554331,1.2791919400763883
290,test,0.62,20264836,-0.044454517954685656,1.2733110747560241
291,test,0.62,20264837,0.05531479508762652,1.2498766007381559
292,test,0.62,20264838,0.03932606687751783,1.280484353456803
293,test,0.62,20264839,0.05674820749597029,1.2274510503189835
294,test,0.62,20264840,0.029645514723110646,1.3196931307239914
295,test,0.62,20264841,-0.030818764812937036,1.2717839121161367
296,test,0.62,20264842,0.0518701882045976,1.261367103655618
297,test,0.62,20264843,4.5365704111229943e-05,1.2813282864439957
298,test,0.62,20264844,-0.009134813550794766,1.311291742683939
299,test,0.62,20264845,-0.005420740509935781,1.2562163990158917
300,test,0.62,20264846,-0.007001865687875754,1.2909076377172999
301,test,0.62,20264847,-0.07836809431058162,1.2561969620805917
302,test,0.62,20264848,-0.029150950929224012,1.3179995089535037
303,test,0.62,20264849,0.019789353967756357,1.2907165313364395
304,test,0.62,20264850,0.030739594650430455,1.3213647742966081
305,test,0.62,20264851,-0.0033673612780351966,1.2753965780773262
306,test,0.62,20264852,0.061800208488823866,1.3393781072920992
307,test,0.62,20264853,-0.029220365100490878,1.2577713342735142
