beta,epsilon,t,log_gain,theory
2.0,0.1,16384,33053.55718801612,33217.35249689854
2.0,0.1,32768,66003.83144476335,66434.70499379707
2.0,0.1,65536,132253.92546395486,132869.40998759415
2.0,0.1,131072,265516.7068368598,265738.8199751883
2.0,0.1,200000,405686.8155007405,405485.25997190597
2.0,0.5,1,3.027938187002316,1.9400457411852603
2.0,0.5,2,3.8180815212954737,3.8800914823705206
2.0,0.5,4,4.761683520230806,7.760182964741041
2.0,0.5,8,7.787775823004784,15.520365929482082
2.0,0.5,16,33.48393222601297,31.040731858964165
2.0,0.5,32,56.289447625540674,62.08146371792833
2.0,0.5,64,116.62395017141996,124.16292743585666
2.0,0.5,128,240.38478269955826,248.32585487171332
2.0,0.5,256,472.2609322735713,496.65170974342664
2.0,0.5,512,909.0045934801441,993.3034194868533
2.0,0.5,1024,1897.9799817994394,1986.6068389737065
2.0,0.5,2048,3868.247859214369,3973.213677947413
2.0,0.5,4096,7880.372067328829,7946.427355894826
2.0,0.5,8192,15806.058426840926,15892.854711789652
2.0,0.5,16384,31616.726536520528,31785.709423579305
2.0,0.5,32768,63500.35718143397,63571.41884715861
2.0,0.5,65536,126733.17376417555,127142.83769431722
2.0,0.5,131072,254431.80621576982,254285.67538863444
2.0,0.5,200000,388364.86330077343,388009.1482370521
2.0,0.9,1,0.7316390390093247,1.8027784359554793
2.0,0.9,2,1.636383748485442,3.6055568719109585
2.0,0.9,4,3.04724774759854,7.211113743821917
2.0,0.9,8,9.56438919481402,14.422227487643834
2.0,0.9,16,16.570310190618997,28.844454975287668
2.0,0.9,32,41.84766147851052,57.688909950575336
2.0,0.9,64,100.91071680799398,115.37781990115067
2.0,0.9,128,184.64612897961698,230.75563980230135
2.0,0.9,256,430.7195647535884,461.5112796046027
2.0,0.9,512,807.562465708956,923.0225592092054
2.0,0.9,1024,1716.5141267743675,1846.0451184184108
2.0,0.9,2048,3505.067487757692,3692.0902368368215
2.0,0.9,4096,7145.304769834688,7384.180473673643
2.0,0.9,8192,14422.915838649144,14768.360947347286
2.0,0.9,16384,28956.95761625419,29536.721894694572
2.0,0.9,32768,58534.75088478899,59073.443789389145
2.0,0.9,65536,117493.67242557484,118146.88757877829
2.0,0.9,131072,236103.36379986999,236293.77515755658
2.0,0.9,200000,360084.79025802505,360555.68719109584
