key,beta,dtype,scale_name,scale,start,stop,n,k,real,imag,theory,error
b1.001_float64,1.001,float64,double,0.10944602063569199,0,50000,50000,3,-0.01140160391311887,-0.09713756017994137,-0.03703703703703703,0.10046333176419449
b1.001_float64,1.001,float64,double,0.10944602063569199,0,50000,50000,4,-0.0544701655431086,0.07580818481886782,0.012345679012345677,0.10105067030549698
b1.001_float64,1.001,float64,double,0.10944602063569199,0,50000,50000,5,0.05334844807600953,-0.07716291008707703,-0.004115226337448558,0.09620908777346479
b1.001_float64,1.001,float64,double,0.10944602063569199,0,50000,50000,6,-0.06552913327938434,0.08178668543666165,0.0013717421124828527,0.10566356535208143
b1.001_float64,1.001,float64,double,0.10944602063569199,0,50000,50000,7,0.08174329632084604,-0.08412744290044076,-0.00045724737082761756,0.11761953932988205
b1.001_float64,1.001,float64,double,0.10944602063569199,0,50000,50000,8,-0.07068272141359679,0.07172606544294684,0.0001524157902758725,0.10080796162316426
b1.001_float64,1.001,float64,double,0.10944602063569199,50000,100000,50000,1,-0.2162377172111545,0.08918465551336593,-0.3333333333333333,0.14719132479215757
b1.001_float64,1.001,float64,double,0.10944602063569199,50000,100000,50000,2,0.006782760830630935,-0.05816094822993702,0.1111111111111111,0.11944496879840515
b1.001_float64,1.001,float64,double,0.10944602063569199,50000,100000,50000,3,0.027725186243759584,-0.0005341074888449465,-0.03703703703703703,0.0647644256909717
b1.001_float64,1.001,float64,double,0.10944602063569199,50000,100000,50000,4,-0.008668976770975357,0.016649864616847324,0.012345679012345677,0.02681107512672352
b1.001_float64,1.001,float64,double,0.10944602063569199,50000,100000,50000,5,0.009853506655894772,-0.006987633534865091,-0.004115226337448558,0.015618979603574931
b1.001_float64,1.001,float64,double,0.10944602063569199,50000,100000,50000,6,-0.026449090967863177,-0.0017204698901120913,0.0013717421124828527,0.02787398015941136
b1.001_float64,1.001,float64,double,0.10944602063569199,50000,100000,50000,7,0.046932922447673005,-0.007627495988479323,-0.00045724737082761756,0.04800007177578588
b1.001_float64,1.001,float64,double,0.10944602063569199,50000,100000,50000,8,-0.047242592376939105,0.01108097665353233,0.0001524157902758725,0.048673142930845376
b1.001_float64,1.001,float64,double,0.10944602063569199,100000,150000,50000,1,-0.415514205743618,0.06608626590535416,-0.3333333333333333,0.10545658031355212
b1.001_float64,1.001,float64,double,0.10944602063569199,100000,150000,50000,2,0.16963276003266944,-0.08068545556828234,0.1111111111111111,0.09967409960847097
b1.001_float64,1.001,float64,double,0.10944602063569199,100000,150000,50000,3,-0.05452115361968587,0.05470703387367414,-0.03703703703703703,0.05743303829618442
b1.001_float64,1.001,float64,double,0.10944602063569199,100000,150000,50000,4,0.013004764399574702,-0.04845443761596253,0.012345679012345677,0.0484589199036345
b1.001_float64,1.001,float64,double,0.10944602063569199,100000,150000,50000,5,-0.00254227519899808,0.04668455661264079,-0.004115226337448558,0.04671104795873044
b1.001_float64,1.001,float64,double,0.10944602063569199,100000,150000,50000,6,-0.005284111080253979,-0.031243918131839504,0.0013717421124828527,0.03194499650887998
b1.001_float64,1.001,float64,double,0.10944602063569199,100000,150000,50000,7,0.008084075068652009,0.022938087507801585,-0.00045724737082761756,0.02447672460789477
b1.001_float64,1.001,float64,double,0.10944602063569199,100000,150000,50000,8,-0.014072704076480884,-0.015821082805268154,0.0001524157902758725,0.02127582422268875
b1.001_float64,1.001,float64,double,0.10944602063569199,150000,200000,50000,1,-0.357313351634089,0.07806050563456834,-0.3333333333333333,0.08166078506620576
b1.001_float64,1.001,float64,double,0.10944602063569199,150000,200000,50000,2,0.1417617207654,-0.006645659277481064,0.1111111111111111,0.031362791001630544
b1.001_float64,1.001,float64,double,0.10944602063569199,150000,200000,50000,3,-0.09324300144348352,-0.0024702998645988357,-0.03703703703703703,0.05626022410442183
b1.001_float64,1.001,float64,double,0.10944602063569199,150000,200000,50000,4,0.06563010911185689,0.02977595567507803,0.012345679012345677,0.06103964308049244
b1.001_float64,1.001,float64,double,0.10944602063569199,150000,200000,50000,5,-0.048493962745670534,-0.04739117340251449,-0.004115226337448558,0.06492607767036018
b1.001_float64,1.001,float64,double,0.10944602063569199,150000,200000,50000,6,0.028592080475375703,0.06516959123537196,0.0013717421124828527,0.07062593321419439
b1.001_float64,1.001,float64,double,0.10944602063569199,150000,200000,50000,7,-0.017960104865632237,-0.062008650701226284,-0.00045724737082761756,0.06443153561936987
b1.001_float64,1.001,float64,double,0.10944602063569199,150000,200000,50000,8,0.018711961003225187,0.053301987810343995,0.0001524157902758725,0.056440753211182165
b1.002_float64,1.002,float64,fixed,1.0,0,200000,200000,1,-0.8604505051684614,0.0008598911723067468,-0.8564577237923224,0.0040843256415047996
b1.002_float64,1.002,float64,fixed,1.0,0,200000,200000,2,0.7407492575151063,-0.002604788060118561,0.733519832643526,0.007684367560961666
b1.002_float64,1.002,float64,fixed,1.0,0,200000,200000,3,-0.6367639057569499,0.004428083091086021,-0.6282287262223997,0.009615467203863068
b1.002_float64,1.002,float64,fixed,1.0,0,200000,200000,4,0.546587068873159,-0.005861822035466726,0.5380513448813865,0.010354686940666233
b1.002_float64,1.002,float64,fixed,1.0,0,200000,200000,5,-0.4678301373261256,0.006687917781664535,-0.46081823012051015,0.00968994772506367
b1.002_float64,1.002,float64,fixed,1.0,0,200000,200000,6,0.40055970808834584,-0.005861811520029428,0.39467133245101876,0.008308658251644296
b1.002_float64,1.002,float64,fixed,1.0,0,200000,200000,7,-0.34205670695805995,0.006086889770606367,-0.3380193110370825,0.007304162710553336
b1.002_float64,1.002,float64,fixed,1.0,0,200000,200000,8,0.29206773985547735,-0.004621599443977186,0.2894992497286687,0.005287373918315573
b1.002_float64,1.002,float64,fixed,1.0,0,50000,50000,1,-0.8483693981465031,0.026239991297823083,-0.8564577237923224,0.027458298473551655
b1.002_float64,1.002,float64,fixed,1.0,0,50000,50000,2,0.7224701159116065,-0.04509559802069766,0.733519832643526,0.046429615556237536
b1.002_float64,1.002,float64,fixed,1.0,0,50000,50000,3,-0.6155636970010968,0.06016547566218287,-0.6282287262223997,0.061484042050219616
b1.002_float64,1.002,float64,fixed,1.0,0,50000,50000,4,0.5250903553684796,-0.07127317758335958,0.5380513448813865,0.07244206714321999
b1.002_float64,1.002,float64,fixed,1.0,0,50000,50000,5,-0.44578085732384787,0.07866831451926469,-0.46081823012051015,0.08009261070740391
b1.002_float64,1.002,float64,fixed,1.0,0,50000,50000,6,0.37984954741952653,-0.07985854198175542,0.39467133245101876,0.08122236169289564
b1.002_float64,1.002,float64,fixed,1.0,0,50000,50000,7,-0.3211714743084977,0.0808289659312293,-0.3380193110370825,0.08256616338394851
b1.002_float64,1.002,float64,fixed,1.0,0,50000,50000,8,0.2727281136192832,-0.07628116141955249,0.2894992497286687,0.07810305111783634
b1.002_float64,1.002,float64,fixed,1.0,50000,100000,50000,1,-0.8846150218003161,-0.028500794788609195,-0.8564577237923224,0.04006405789099975
b1.002_float64,1.002,float64,fixed,1.0,50000,100000,50000,2,0.783858429183381,0.0432832870063943,0.733519832643526,0.06638838178235856
b1.002_float64,1.002,float64,fixed,1.0,50000,100000,50000,3,-0.6955383141062061,-0.04806575527937554,-0.6282287262223997,0.0827097180001521
b1.002_float64,1.002,float64,fixed,1.0,50000,100000,50000,4,0.6163690758101981,0.052286111650275996,0.5380513448813865,0.09416742775154716
b1.002_float64,1.002,float64,fixed,1.0,50000,100000,50000,5,-0.5474596723964814,-0.05283650306387634,-0.46081823012051015,0.10148120799280759
b1.002_float64,1.002,float64,fixed,1.0,50000,100000,50000,6,0.48578281364203574,0.05374966304276606,0.39467133245101876,0.10578434800116665
b1.002_float64,1.002,float64,fixed,1.0,50000,100000,50000,7,-0.4335147973152985,-0.05084712341120036,-0.3380193110370825,0.10818880653148358
b1.002_float64,1.002,float64,fixed,1.0,50000,100000,50000,8,0.38577679585073466,0.04797949148139256,0.2894992497286687,0.1075704303705231
b1.002_float64,1.002,float64,fixed,1.0,100000,150000,50000,1,-0.8546347788306176,-0.0066066027320934965,-0.8564577237923224,0.0068534902052246665
b1.002_float64,1.002,float64,fixed,1.0,100000,150000,50000,2,0.7281241815743155,0.011005089610835803,0.733519832643526,0.01225663280853267
