beta,name,seed,center,lambda0,estimate,target
1.01,uncoupled,9,0.06195259940683881,0.3208269084454785,0.3208269084454785,0.3267964614006244
1.01,q-1.0,9,0.06195259940683881,0.3208269084454785,-0.3327660143557702,-0.3267964614006244
1.01,q-0.25,9,0.06195259940683881,0.3208269084454785,-0.08766866830530196,-0.0816991153501561
1.01,q0.0,9,0.06195259940683881,0.3208269084454785,-0.005969552955145951,0.0
1.01,q0.25,9,0.06195259940683881,0.3208269084454785,0.07572956239501025,0.0816991153501561
1.01,q0.75,9,0.06195259940683881,0.3208269084454785,0.2391277930953224,0.2450973460504683
1.01,one_step,9,0.06195259940683881,0.3208269084454785,,
1.01,uncoupled,10,0.2717515253080598,0.3192718422167052,0.3192718422167052,0.3267964614006244
1.01,q-1.0,10,0.2717515253080598,0.3192718422167052,-0.3343210805845435,-0.3267964614006244
1.01,q-0.25,10,0.2717515253080598,0.3192718422167052,-0.08922373453407528,-0.0816991153501561
1.01,q0.0,10,0.2717515253080598,0.3192718422167052,-0.007524619183919279,0.0
1.01,q0.25,10,0.2717515253080598,0.3192718422167052,0.07417449616623692,0.0816991153501561
