beta,name,kappa,regime,seed,initial,x0,y0,initial_equal,tail_real,tail_chord,finite_sync,first_exact,first_escape,max_abs
2.0,q-0.25,0.46078738088413185,stable,13,near,0.29947321782764186,0.29947320825260165,0,0.0,0.0,1,75,-1,1233012.4778457123
2.0,q-0.25,0.46078738088413185,stable,13,independent,2.026854103668552,0.9647005742173707,0,0.0,0.0,1,70,1,940986.7332861891
2.0,q0.0,0.4347568859616015,neutral,13,near,0.29947321782764186,0.29947320825260165,0,0.0,0.0,1,119,-1,263758.6459364008
2.0,q0.0,0.4347568859616015,neutral,13,independent,2.026854103668552,0.9647005742173707,0,0.0,0.0,1,665,1,718938.7276514133
2.0,q0.25,0.391446579560279,unstable,13,near,0.29947321782764186,0.29947320825260165,0,5747.04304529985,1.9999439579858875,0,-1,11,120247.54008914036
2.0,q0.25,0.391446579560279,unstable,13,independent,2.026854103668552,0.9647005742173707,0,446255.9973049188,1.999991662586684,0,-1,1,1197704.7988881832
2.0,q0.75,0.19948844645283387,unstable,13,near,0.29947321782764186,0.29947320825260165,0,22684.142493714826,1.9999998279628979,0,-1,8,113285.00298550242
2.0,q0.75,0.19948844645283387,unstable,13,independent,2.026854103668552,0.9647005742173707,0,36016.98079009738,1.999999920979863,0,-1,1,186131.46374111198
2.0,one_step,0.5,one_step,13,near,0.29947321782764186,0.29947320825260165,0,0.0,0.0,1,1,-1,15785.69917619612
2.0,one_step,0.5,one_step,13,independent,2.026854103668552,0.9647005742173707,0,0.0,0.0,1,1,-1,40106.726072520265
2.0,uncoupled,0.0,unstable,14,near,0.31050495388061206,0.31050494430557185,0,87812.23812010814,1.9999999432212325,0,-1,5,493496.5716591032
2.0,uncoupled,0.0,unstable,14,independent,1.160573600167506,-5.222599135374141,0,5621.281766610194,1.9999999957242522,0,-1,1,440245.1002976567
2.0,q-1.0,0.49148667214114505,stable,14,near,0.31050495388061206,0.31050494430557185,0,0.0,0.0,1,11,-1,51722.04304255226
2.0,q-1.0,0.49148667214114505,stable,14,independent,1.160573600167506,-5.222599135374141,0,0.0,0.0,1,16,-1,171001.97329708328
2.0,q-0.25,0.46078738088413185,stable,14,near,0.31050495388061206,0.31050494430557185,0,0.0,0.0,1,31,-1,343511.7049135809
2.0,q-0.25,0.46078738088413185,stable,14,independent,1.160573600167506,-5.222599135374141,0,0.0,0.0,1,66,1,130897.1385912891
2.0,q0.0,0.4347568859616015,neutral,14,near,0.31050495388061206,0.31050494430557185,0,0.0,0.0,1,333,71,71027.18580589141
2.0,q0.0,0.4347568859616015,neutral,14,independent,1.160573600167506,-5.222599135374141,0,0.0,0.0,1,317,1,277531.7889256306
2.0,q0.25,0.391446579560279,unstable,14,near,0.31050495388061206,0.31050494430557185,0,28561.411878478804,1.9999885948936584,0,-1,28,1683298.2065010634
2.0,q0.25,0.391446579560279,unstable,14,independent,1.160573600167506,-5.222599135374141,0,42230.613207577706,1.9999265222609532,0,-1,1,488655372.51130253
2.0,q0.75,0.19948844645283387,unstable,14,near,0.31050495388061206,0.31050494430557185,0,25613.72254688961,1.999999023954323,0,-1,7,14184422.796506705
2.0,q0.75,0.19948844645283387,unstable,14,independent,1.160573600167506,-5.222599135374141,0,60399.52164817188,1.9999999979078305,0,-1,1,221705.70394672558
2.0,one_step,0.5,one_step,14,near,0.31050495388061206,0.31050494430557185,0,0.0,0.0,1,1,-1,36376.14098534631
2.0,one_step,0.5,one_step,14,independent,1.160573600167506,-5.222599135374141,0,0.0,0.0,1,1,-1,547141.2003635889
2.0,uncoupled,0.0,unstable,15,near,-0.0941370888214664,-0.09413709839650664,0,4438478.765286067,1.9999999950444802,0,-1,8,4249866.199629385
2.0,uncoupled,0.0,unstable,15,independent,0.27458431735640837,0.5423466843017414,0,8297.384821985943,1.9999999992970836,0,-1,1,3212756.7976150564
2.0,q-1.0,0.49148667214114505,stable,15,near,-0.0941370888214664,-0.09413709839650664,0,0.0,0.0,1,8,-1,208408.63659782114
2.0,q-1.0,0.49148667214114505,stable,15,independent,0.27458431735640837,0.5423466843017414,0,0.0,0.0,1,16,1,221630.4203266003
2.0,q-0.25,0.46078738088413185,stable,15,near,-0.0941370888214664,-0.09413709839650664,0,0.0,0.0,1,24,-1,172722.15724741886
2.0,q-0.25,0.46078738088413185,stable,15,independent,0.27458431735640837,0.5423466843017414,0,0.0,0.0,1,62,1,417816.41336476937
2.0,q0.0,0.4347568859616015,neutral,15,near,-0.0941370888214664,-0.09413709839650664,0,0.0,0.0,1,379,-1,189270.45493874498
2.0,q0.0,0.4347568859616015,neutral,15,independent,0.27458431735640837,0.5423466843017414,0,0.0,0.0,1,183,1,59275.39862174825
2.0,q0.25,0.391446579560279,unstable,15,near,-0.0941370888214664,-0.09413709839650664,0,16955.972765612256,1.9999763775817827,0,-1,42,453403.4038494718
