beta,gamma0,x,empirical,theoretical
0.5,1.0,-0.022468108560350728,0.48503,0.4845359698238387
0.5,1.0,-0.015203354019990737,0.49002,0.48953158749884024
0.5,1.0,-0.007787240350849858,0.49501,0.4946365960121187
0.5,1.0,-0.0007392010532428201,0.5,0.4994908330090226
0.5,1.0,0.006474220972519761,0.50499,0.5044592019451658
0.5,1.0,0.013629675041606053,0.50998,0.509385505163948
0.5,1.0,0.020843796398417914,0.51497,0.5143476441714265
0.5,1.0,0.028096318787414105,0.51996,0.5193291690018821
0.5,1.0,0.03552040437297999,0.52495,0.524418716050574
0.5,1.0,0.04299117406977246,0.52994,0.5295276653991827
0.5,1.0,0.05019967995107915,0.53493,0.5344428728552606
0.5,1.0,0.05730080498813357,0.53992,0.5392688043590438
0.5,1.0,0.06437044025882865,0.54491,0.5440553831116761
0.5,1.0,0.07187285783010453,0.5499,0.5491130991649902
0.5,1.0,0.0789887334757378,0.55489,0.5538872834812752
0.5,1.0,0.0862962588393622,0.55988,0.5587646866116687
0.5,1.0,0.09391955534813225,0.56487,0.5638232439712751
0.5,1.0,0.10159515976240242,0.56986,0.5688837068923268
0.5,1.0,0.10876556497567832,0.57485,0.5735794050495271
0.5,1.0,0.11614018766735956,0.57984,0.5783750461099622
0.5,1.0,0.12402553446777066,0.58483,0.5834628906188151
