stage,beta,gamma0,condition,seed,dtype,nonfinite,first_failure_step,first_failure_index,zero_count,max_abs,min_pole
A,1.5,0.1,15,4,float32,0,,,0,37724.21484375,2.6508173670336532e-05
A,1.5,0.1,15,5,float64,0,,,0,22459.675006618465,4.452424173750913e-05
A,1.5,0.1,15,5,float32,0,,,0,22467.478515625,4.45087763925045e-05
A,1.5,0.1,15,6,float64,0,,,0,18561.518349458183,5.387490291508534e-05
A,1.5,0.1,15,6,float32,0,,,0,18584.908203125,5.380710097746544e-05
A,1.5,0.1,15,7,float64,0,,,0,8552.830006397244,0.000116920363750328
A,1.5,0.1,15,7,float32,0,,,0,8554.275390625,0.00011690060165925331
A,1.5,0.1,15,8,float64,0,,,0,15267.711172505398,6.549770212904704e-05
A,1.5,0.1,15,8,float32,0,,,0,15234.4716796875,6.564060715241737e-05
A,1.5,0.1,15,9,float64,0,,,0,13378.22379122262,7.474833832521455e-05
A,1.5,0.1,15,9,float32,0,,,0,13386.7890625,7.470051315827675e-05
A,1.5,1.0,16,0,float64,0,,,0,97194.70858246548,1.0563411906083786e-05
A,1.5,1.0,16,0,float32,0,,,0,97194.7109375,1.0565915379956436e-05
A,1.5,1.0,16,1,float64,0,,,0,103043.9328208923,1.2667031535906759e-05
A,1.5,1.0,16,1,float32,0,,,0,103043.9296875,1.2799105371996689e-05
A,1.5,1.0,16,2,float64,0,,,0,168392.88351589168,5.9384932376005395e-06
A,1.5,1.0,16,2,float32,0,,,0,174399.21875,5.733970779076003e-06
A,1.5,1.0,16,3,float64,0,,,0,184038.57058530478,5.433643593288906e-06
A,1.5,1.0,16,3,float32,0,,,0,179884.421875,5.559125218823624e-06
A,1.5,1.0,16,4,float64,0,,,0,83027.87668190397,1.2044147579715059e-05
A,1.5,1.0,16,4,float32,0,,,0,82592.0703125,1.2107699395969007e-05
