stage,beta,gamma0,condition,seed,dtype,start,stop,status,n,median,estimated_scale,ks,tail10,tail100,theoretical_scale,lyapunov,theoretical_lyapunov,log_sensitivity
C,1.0001,0.017318949386946766,0,9,float32,100000,150000,記述的評価,50000,-0.002720785792917013,0.005195678233576473,0.30569893573131746,0.05682,0.00592,0.017318949386946766,0.0312163469889965,0.03444136656343561,1560.817349449825
C,1.0001,0.017318949386946766,0,9,float32,150000,200000,記述的評価,50000,0.002778047462925315,0.01617997616995126,0.12832542996159074,0.04354,0.0043,0.017318949386946766,0.024182654085344285,0.03444136656343561,1209.1327042672142
C,1.0001,0.017318949386946766,0,10,float64,0,200000,記述的評価,200000,-0.00432368385188483,0.0150650668754433,0.11265266605437413,0.06112,0.006095,0.017318949386946766,0.03236657328468028,0.03444136656343561,6473.314656936056
C,1.0001,0.017318949386946766,0,10,float64,0,50000,記述的評価,50000,-0.00730259803686442,0.00667790961697534,0.4480776660543741,0.03638,0.00358,0.017318949386946766,0.018765075400205052,0.03444136656343561,938.2537700102525
C,1.0001,0.017318949386946766,0,10,float64,50000,100000,記述的評価,50000,-0.006577429381508597,0.02205721680930775,0.12271641559312452,0.05528,0.00518,0.017318949386946766,0.027915487051091308,0.03444136656343561,1395.7743525545654
C,1.0001,0.017318949386946766,0,10,float64,100000,150000,記述的評価,50000,0.005491962243921875,0.015154643849758627,0.2637397272184556,0.08732,0.00876,0.017318949386946766,0.04544597913029602,0.03444136656343561,2272.298956514801
C,1.0001,0.017318949386946766,0,10,float64,150000,200000,記述的評価,50000,-0.005370485870432137,0.012137263648672365,0.1594802737648207,0.0655,0.00686,0.017318949386946766,0.03733975155712875,0.03444136656343561,1866.9875778564374
C,1.0001,0.017318949386946766,0,10,float32,0,200000,記述的評価,200000,-0.0025454674614593387,0.011122182302642614,0.16830652804148072,0.060515,0.00616,0.017318949386946766,0.034312217691555014,0.03444136656343561,6862.443538311002
C,1.0001,0.017318949386946766,0,10,float32,0,50000,記述的評価,50000,-0.010351722128689289,0.007654436980374157,0.3972448900381601,0.03964,0.00448,0.017318949386946766,0.024869180731718617,0.03444136656343561,1243.4590365859308
C,1.0001,0.017318949386946766,0,10,float32,50000,100000,記述的評価,50000,-0.0025800400180742145,0.013023411556787323,0.2999067153492945,0.07502,0.00796,0.017318949386946766,0.04516569859627999,0.03444136656343561,2258.2849298139995
C,1.0001,0.017318949386946766,0,10,float32,100000,150000,記述的評価,50000,0.0015050586662255228,0.00921984005253762,0.19356671534929448,0.0637,0.0061,0.017318949386946766,0.03360614806971387,0.03444136656343561,1680.3074034856936
